"","species","location","site","nest","year","site_box_year","n_sampleID","n_percent_aquatic_pa","n_percent_aquatic_ra","n_num_fam","n_parental_investment_proj","n_band","n_age","n_sex","n_capture_date","n_cap_doy","n_cap_num","n_age.1","n_age_nestad","n_mass","n_bhead","n_fwing","n_sseries_type","n_cort1_raw","n_cort1_correct","n_glucose1","n_buty","n_cort2_raw","n_cort2_correct","n_glucose2","n_inject1_type","n_inject1_dose","n_inject2_type","n_inject2_dose","n_cort3_raw","n_cort3_correct","n_glucose3","n_fate","n_micro_nb","n_blood_nb","n_bolus_nb","n_lifetag_nb","n_Notes","n_Nest_Experiment","n_Nest_Treatment","n_Day6_Brood_Mass","n_Brood_Size_Day6","n_avg_day6_mass","n_exp_treat","n_TotalReads","ad_Individual_Band","ad_Adult_or_Nestling","ad_Sex","ad_Experiment","ad_Individual_Treatment","ad_RFID_On","ad_Individual_RFID","ad_Manipulated_after_1st_capture","ad_Capture_Date","ad_Capture_Number","ad_Method","ad_Leg_Banded","ad_Status","ad_Age","ad_Measured_by","ad_Mass","ad_Bill.Head","ad_Flat_Wing","ad_Tail","ad_Fat","ad_Culmen","ad_Ectoparasites_Presence","ad_Genetic_Mom","ad_Genetic_Dad","ad_Current_Brood_Size","ad_Natal_Nest","ad_Trap_set","ad_Disturbance_Time","ad_Bleed1_Latency","ad_Stress_Series_Type","ad_Bleed1_Amount","ad_Bleed1_Plasma_nb","ad_Base_Plasma_Sample_Box","ad_Baseline_Sample_Location","ad_Bleed1_CORT_Raw","ad_Bleed1_CORT_corrected_value","ad_Bleed1_OXY","ad_Bleed1_dROMs","ad_Bleed1_Glucose","ad_BUTY","ad_Bleed2_Time","ad_Bleed2_Amount","ad_Bleed2_Plasma_nb","ad_Stress_Plasma_Sample_Box","ad_Stress_Sample_Location","ad_Bleed2_CORT_Raw","ad_Bleed2_CORT_corrected_value","ad_Bleed2_OXY","ad_Bleed2_dROMs","ad_Bleed2_Glucose","ad_Inject_1_Type","ad_Inject_1_Dose","ad_Inject_1_Time","ad_Inject_2_Type","ad_Inject_2_Dose","ad_Inject_2_Time","ad_Bleed3_Time","ad_Bleed3_Amount","ad_Bleed3_Plasma_nb","ad_Dex_Plasma_Sample_Box","ad_Dex_Sample_Location","ad_Bleed3_CORT_Raw","ad_Bleed3_CORT_corrected_value","ad_Bleed3_Glucose","ad_Release_Time","ad_Nestling_Fate","ad_Feathers_Sample_nb","ad_Telomeres","ad_Telomere_Sample_nb","ad_Telomeres_Box","ad_Telomeres_Sample_Location","ad_Microbiome","ad_Microbiome_Sample_nb","ad_Microbiome_Box","ad_Microbiome_Sample_Location","ad_Blood_DNA_Collected","ad_Blood_DNA_Sample_nb","ad_Fecal_Sample_nb","ad_Bolus_nb","ad_Blood_Smear_Collected","ad_Lifetag_nb","ad_Bacteria_Killing_Assay","ad_CORT_AssayCode","ad_Extraction_Efficiency","ad_RIA_or_EIA","ad_OXY_AssayCode","ad_dROMS_AssayCode","ad_Notes"
"12","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","L19N008c",0.444444444444444,0.922155688622754,9,"yes","","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",167,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
"13","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","L19N008e",0.5,0.745901639344262,12,"yes","","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",610,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
"14","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","L19N008f",0.6,0.999325691166554,5,"yes","","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",2966,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
"15","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","P19N330",0.347826086956522,0.971363192785274,23,"no","278172440","Nestling","Unknown","6/17/19","168","","12","12",23,26,54,"B_S_D",1.68,2.09,NA,NA,19.08,23.68,NA,"Dex",10.5,"",NA,2.75,3.42,NA,"Fledged","","190547","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",29717,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
"16","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","L19N008d",0.5,0.375,10,"yes","","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",48,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
"17","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","P19N332",0.416666666666667,0.768073064059686,12,"no","278172442","Nestling","Unknown","6/17/19","168","","12","12",22.5,25.2,51,"B_S_D",0.77,0.96,NA,NA,11.45,14.21,NA,"Dex",10.5,"",NA,3.76,4.67,NA,"Fledged","","190549","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",7774,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
"18","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","P19N333",0.391304347826087,0.961307348761673,23,"no","278172443","Nestling","Unknown","6/17/19","168","","12","12",22,25.9,55,"B_S_D",0.46,0.58,NA,NA,9.88,12.27,NA,"Dex",10,"",NA,1.37,1.71,NA,"Fledged","","190550","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",24630,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
"19","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","P19N329",0.357142857142857,0.413183279742765,14,"no","278172439","Nestling","Unknown","6/17/19","168","","12","12",23,25.7,51.5,"B_S_D",1.23,1.53,NA,NA,20.85,25.87,NA,"Dex",10.5,"",NA,6.85,8.51,NA,"Fledged","","190546","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",3110,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
"20","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","L19N008a",0.416666666666667,0.638104531316704,12,"yes","","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",16397,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
"21","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","P19N328",0.333333333333333,0.0784313725490196,12,"no","278172438","Nestling","Unknown","6/17/19","168","","12","12",24,25.9,54,"B_S_D",0.29,0.47,NA,NA,23.4,29.05,NA,"Dex",11,"",NA,4.26,5.29,NA,"Fledged","","190545","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",714,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
"22","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","P19N331",0.391304347826087,0.838619402985075,23,"no","278172441","Nestling","Unknown","6/17/19","168","","12","12",21,26.2,52,"B_S_D",0.57,0.71,NA,NA,10.36,12.86,NA,"Dex",9.5,"",NA,4.39,5.45,NA,"Fledged","","190548","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",10720,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
"23","TRES","Ithaca","Turkey_Hill","3","2019","Turkey_Hill_3_2019","P19N302",0.545454545454545,0.215266993190778,22,"no","278172430","Nestling","Unknown","6/16/19","167","","12","12",16.5,24.1,43.5,"B_S_D",7.41,9.2,NA,NA,41.07,50.97,NA,"Dex",7.5,"",NA,2.97,3.69,NA,"Fledged","","190501","","","","Light","Light",65.25,5,13.05,"Light_Light",25113,272106655,"Adult","F","Light","Light","Old","","Yes","11-Jun-19",3,"Flap_Trap","R",2,"ASY","JJU",18.25,NA,123,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",4,"19N0552","","",7.79,8.24,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"","","","","","","","","","","","Yes","190252","","","","6134617F",NA,"19CORT017","94.6%","EIA","","",""
"24","TRES","Ithaca","Turkey_Hill","3","2019","Turkey_Hill_3_2019","P19N303",0.411764705882353,0.106515342580916,17,"no","278172431","Nestling","Unknown","6/16/19","167","","12","12",19.5,25.6,48.5,"B_S_D",6.68,8.3,NA,NA,43.86,54.43,NA,"Dex",9,"",NA,3.1,3.86,NA,"Fledged","","190502","","","","Light","Light",65.25,5,13.05,"Light_Light",23790,272106655,"Adult","F","Light","Light","Old","","Yes","11-Jun-19",3,"Flap_Trap","R",2,"ASY","JJU",18.25,NA,123,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",4,"19N0552","","",7.79,8.24,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"","","","","","","","","","","","Yes","190252","","","","6134617F",NA,"19CORT017","94.6%","EIA","","",""
